0.0,0.0,0.0
0.02,0.0063,0.061803
0.04,0.00364,0.035708
0.06,0.00099,0.009712
0.08,0.00428,0.041987
0.1,0.00758,0.07436
0.12,0.01087,0.106635
0.14,0.00682,0.066904
0.16,0.00277,0.027174
0.18,-0.00128,-0.012557
0.2,0.00368,0.036101
0.22,0.00864,0.084758
0.24,0.0136,0.133416
0.26,0.00727,0.071319
0.28,0.00094,0.009221
0.3,0.0042,0.041202
0.32,0.00221,0.02168
0.34,0.00021,0.00206
0.36,0.00444,0.043556
0.38,0.00867,0.085053
0.4,0.0129,0.126549
0.42,0.01713,0.168045
0.44,-0.00343,-0.033648
0.46,-0.024,-0.23544
0.48,-0.00992,-0.097315
0.5,0.00416,0.04081
0.52,0.00528,0.051797
0.54,0.01653,0.162159
0.56,0.02779,0.27262
0.58,0.03904,0.382982
0.6,0.02449,0.240247
0.62,0.00995,0.09761
0.64,0.00961,0.094274
0.66,0.00926,0.090841
0.68,0.00892,0.087505
0.7,-0.00486,-0.047677
0.72,-0.01864,-0.182858
0.74,-0.03242,-0.31804
0.76,-0.03365,-0.330106
0.78,-0.05723,-0.561426
0.8,-0.04534,-0.444785
0.82,-0.03346,-0.328243
0.84,-0.03201,-0.314018
0.86,-0.03056,-0.299794
0.88,-0.02911,-0.285569
0.9,-0.02766,-0.271345
0.92,-0.04116,-0.40378
0.94,-0.05466,-0.536215
0.96,-0.06816,-0.66865
0.98,-0.08166,-0.801085
1.0,-0.06846,-0.671593
1.02,-0.05527,-0.542199
1.04,-0.04208,-0.412805
1.06,-0.04259,-0.417808
1.08,-0.04311,-0.422909
1.1,-0.02428,-0.238187
1.12,-0.00545,-0.053465
1.14,0.01338,0.131258
1.16,0.03221,0.31598
1.18,0.05104,0.500702
1.2,0.06987,0.685425
1.22,0.0887,0.870147
1.24,0.04524,0.443804
1.26,0.00179,0.01756
1.28,-0.04167,-0.408783
1.3,-0.08513,-0.835125
1.32,-0.12858,-1.26137
1.34,-0.17204,-1.687712
1.36,-0.12908,-1.266275
1.38,-0.08613,-0.844935
1.4,-0.08902,-0.873286
1.42,-0.09192,-0.901735
1.44,-0.09482,-0.930184
1.46,-0.09324,-0.914684
1.48,-0.09166,-0.899185
1.5,-0.09478,-0.929792
1.52,-0.09789,-0.960301
1.54,-0.12902,-1.265686
1.56,-0.07652,-0.750661
1.58,-0.02401,-0.235538
1.6,0.02849,0.279487
1.62,0.08099,0.794512
1.64,0.1335,1.309635
1.66,0.186,1.82466
1.68,0.2385,2.339685
1.7,0.21993,2.157513
1.72,0.20135,1.975244
1.74,0.18277,1.792974
1.76,0.1642,1.610802
1.78,0.14562,1.428532
1.8,0.16143,1.583628
1.82,0.17725,1.738822
1.84,0.13215,1.296392
1.86,0.08705,0.85396
1.88,0.04196,0.411628
1.9,-0.00314,-0.030803
1.92,-0.04824,-0.473234
1.94,-0.09334,-0.915665
1.96,-0.13843,-1.357998
1.98,-0.18353,-1.800429
2.0,-0.22863,-2.24286
2.02,-0.27372,-2.685193
2.04,-0.31882,-3.127624
2.06,-0.25024,-2.454854
2.08,-0.18166,-1.782085
2.1,-0.11309,-1.109413
2.12,-0.04451,-0.436643
